Cluster-Number;ASV;Family;Genus;Genus.Species
Cluster-4;ASV7;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;NA
Cluster-4;ASV8;Comamonadaceae;NA;NA
Cluster-4;ASV32;Comamonadaceae;NA;NA
Cluster-4;ASV35;Rhizobiaceae;Phyllobacterium;NA
Cluster-4;ASV48;Xanthobacteraceae;Afipia;NA
Cluster-4;ASV57;Pseudomonadaceae;Pseudomonas;NA
Cluster-4;ASV60;Moraxellaceae;Enhydrobacter;NA
Cluster-4;ASV63;Pseudomonadaceae;Pseudomonas;NA
Cluster-4;ASV65;Moraxellaceae;Acinetobacter;NA
Cluster-4;ASV71;Moraxellaceae;Acinetobacter;NA
Cluster-4;ASV88;Micrococcaceae;Micrococcus;NA
Cluster-4;ASV103;Sphingomonadaceae;Sphingomonas;NA
Cluster-4;ASV110;Pseudomonadaceae;Pseudomonas;NA
Cluster-4;ASV130;Nitriliruptoraceae;NA;NA
Cluster-4;ASV136;Alcaligenaceae;Achromobacter;NA
Cluster-4;ASV155;Caulobacteraceae;NA;NA
Cluster-4;ASV165;Beijerinckiaceae;Methylobacterium-Methylorubrum;NA
Cluster-4;ASV170;Caulobacteraceae;Brevundimonas;NA
Cluster-4;ASV200;Oxalobacteraceae;Massilia;NA
Cluster-4;ASV204;Thermaceae;Thermus;Thermus.brockianus
Cluster-4;ASV232;Micrococcaceae;Pseudarthrobacter;NA
Cluster-4;ASV260;Pseudomonadaceae;Pseudomonas;NA
Cluster-4;ASV285;Nocardiaceae;Rhodococcus;NA
Cluster-7;ASV54;Beijerinckiaceae;Methylobacterium-Methylorubrum;NA
Cluster-7;ASV72;Beijerinckiaceae;Methylobacterium-Methylorubrum;NA
Cluster-7;ASV79;Beijerinckiaceae;Methylobacterium-Methylorubrum;NA
Cluster-7;ASV96;Beijerinckiaceae;Methylobacterium-Methylorubrum;NA
Cluster-7;ASV107;Xanthobacteraceae;NA;NA
Cluster-7;ASV154;Beijerinckiaceae;Methylobacterium-Methylorubrum;NA
Cluster-7;ASV161;Beijerinckiaceae;Methylobacterium-Methylorubrum;NA
Cluster-7;ASV175;Caulobacteraceae;Caulobacter;NA
Cluster-7;ASV177;Beijerinckiaceae;Bosea;NA
Cluster-7;ASV194;Beijerinckiaceae;Psychroglaciecola;NA
Cluster-7;ASV201;Rhizobiaceae;NA;NA
Cluster-7;ASV205;Comamonadaceae;NA;NA
Cluster-7;ASV209;Beijerinckiaceae;Bosea;NA
Cluster-7;ASV218;Microbacteriaceae;NA;NA
Cluster-7;ASV221;Xanthobacteraceae;Tardiphaga;Tardiphaga.robiniae
Cluster-7;ASV234;Sphingomonadaceae;Sphingobium;NA
Cluster-7;ASV246;Comamonadaceae;NA;NA
Cluster-7;ASV247;Sphingomonadaceae;Novosphingobium;NA
Cluster-7;ASV257;Oxalobacteraceae;Duganella;NA
Cluster-7;ASV269;Comamonadaceae;NA;NA
Cluster-7;ASV291;Sphingomonadaceae;Sphingoaurantiacus;Sphingoaurantiacus.polygranulatus
Cluster-7;ASV294;Nocardioidaceae;Nocardioides;NA
Cluster-7;ASV407;Microbacteriaceae;NA;NA
Cluster-8;ASV250;Sphingomonadaceae;Sphingomonas;NA
Cluster-8;ASV262;Caulobacteraceae;Caulobacter;NA
Cluster-8;ASV280;Comamonadaceae;NA;NA
Cluster-8;ASV284;Caulobacteraceae;Phenylobacterium;Phenylobacterium.mobile
Cluster-8;ASV295;Beijerinckiaceae;Methylobacterium-Methylorubrum;NA
Cluster-8;ASV301;Sphingomonadaceae;Sphingobium;NA
Cluster-8;ASV310;Comamonadaceae;Polaromonas;NA
Cluster-8;ASV320;Sphingomonadaceae;Sphingomonas;Sphingomonas.koreensis
Cluster-8;ASV321;Devosiaceae;Devosia;Devosia.neptuniae
Cluster-8;ASV353;Caulobacteraceae;Brevundimonas;NA
Cluster-8;ASV354;Xanthobacteraceae;Tardiphaga;NA
Cluster-8;ASV357;Rhizobiaceae;NA;NA
Cluster-8;ASV359;Oxalobacteraceae;Massilia;NA
Cluster-8;ASV360;Comamonadaceae;NA;NA
Cluster-8;ASV362;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;NA
Cluster-8;ASV367;Sphingomonadaceae;Novosphingobium;NA
Cluster-8;ASV372;Oxalobacteraceae;Janthinobacterium;NA
Cluster-8;ASV374;Beijerinckiaceae;Methylobacterium-Methylorubrum;NA
Cluster-8;ASV375;Rhizobiaceae;NA;NA
Cluster-8;ASV379;Oxalobacteraceae;Massilia;NA
Cluster-8;ASV390;Methylopilaceae;NA;NA
Cluster-8;ASV393;Devosiaceae;NA;NA
Cluster-8;ASV396;Sphingomonadaceae;Sphingomonas;NA
Cluster-8;ASV398;Comamonadaceae;Aquabacterium;Aquabacterium.parvum
Cluster-8;ASV403;Sphingomonadaceae;Sphingobium;NA
Cluster-8;ASV404;Caulobacteraceae;Brevundimonas;NA
Cluster-8;ASV437;Sphingomonadaceae;Sphingomonas;NA
Cluster-8;ASV443;Caulobacteraceae;Phenylobacterium;NA
Cluster-8;ASV450;Rhizobiaceae;Pseudorhizobium;NA
Cluster-8;ASV455;Beijerinckiaceae;Methylobacterium-Methylorubrum;NA
Cluster-8;ASV459;Pseudomonadaceae;Pseudomonas;NA
Cluster-8;ASV461;Acetobacteraceae;NA;NA
Cluster-8;ASV469;Caulobacteraceae;Brevundimonas;NA
Cluster-8;ASV471;Comamonadaceae;NA;NA
Cluster-8;ASV483;Methylopilaceae;Methylopila;NA
Cluster-8;ASV534;Devosiaceae;Devosia;NA
Cluster-8;ASV536;Flavobacteriaceae;Flavobacterium;NA
Cluster-8;ASV549;Beijerinckiaceae;Psychroglaciecola;NA
Cluster-8;ASV554;Xanthobacteraceae;Tardiphaga;Tardiphaga.robiniae
Cluster-8;ASV555;Microbacteriaceae;NA;NA
Cluster-8;ASV602;Xanthomonadaceae;Pseudoxanthomonas;NA
Cluster-8;ASV603;Rhizobiaceae;Neorhizobium;NA
Cluster-8;ASV619;Oxalobacteraceae;Herminiimonas;NA
Cluster-8;ASV646;Devosiaceae;NA;NA
Cluster-8;ASV650;Rhizobiaceae;Shinella;NA
Cluster-8;ASV660;Caulobacteraceae;Caulobacter;NA
